MECHANICAL CONTEXT - data through 2026-07-17 US close. Adjusted closes, Yahoo.
symbol          last     1w%     1m%     3m%
SPY           743.29    -1.5    +0.6    +4.9
QQQ           695.33    -4.2    -3.7    +7.3
IWM           294.04    -0.7    +1.4    +6.9
RSP           213.37    -0.4    +2.5    +5.4
XLF            56.26    +1.0    +4.5    +7.7
XLV           161.09    +0.2    +7.4    +8.7
XLI           179.41    -1.4    +0.1    +3.7
XLE            57.68    +4.7    +6.3    +5.6
XLP            85.19    +1.3    +2.5    +4.0
XLU            45.17    -0.5    +2.2    -1.5
XLK           175.59    -5.5    -5.4   +13.9
SMH           556.53    -8.9   -10.8   +19.9
XBI           154.26    -3.0   +10.8   +11.4
KRE            76.69    +2.2    +8.4    +9.6
GDX            71.32    -5.6   -15.5   -28.9
GLD           368.41    -2.3    -5.2   -17.4
TLT            84.52    +0.1    -1.7    -1.8
EFA           103.33    -1.0    -0.4    +0.6
EEM            63.29    -5.4    -7.7    -0.0
EWJ            90.49    -4.3    -4.2    +0.9
BTC-USD     64083.09    +0.4    +1.9   -15.4
ETH-USD      1845.71    +3.2    +8.0   -21.5
SOL-USD        74.98    -2.4    +7.7   -13.0
TQQQ           67.53   -12.3   -12.7   +15.5
SOXL          135.47   -29.5   -42.1   +43.1
TNA            70.02    -2.1    +3.4   +16.7
USMV           96.60    -1.2    +2.1    +2.2
QUAL          217.87    -0.8    +1.6    +5.5
SPLV           76.57    +1.0    +4.6    +3.1
IWD           248.03    +0.5    +3.2    +9.5
